1948,9.47
1949,5.52
1950,7.04
1951,7.47
1952,7.69
1953,7.65
1954,9.51
1955,7.61
1956,7.58
1957,6.73
1958,6.82
1959,8.71
1960,8.34
1961,8.11
1962,9.53
1963,9.95
1964,7.4
1965,6.53
1966,6.75
1967,8.71
1968,4.13
1969,7.56
1970,7.86
1971,7.4
1972,6.07
1973,5.84
1974,7.97
1975,7.98
1976,9.38
1977,5.78
1978,6.99
1979,8.7
1980,8.93
1981,5.93
1982,6.82
1983,7.91
1984,10.65
1985,9.69
1986,9.83
1987,8.46
1988,8.92
1989,10.26
1990,9.92
1991,10.38
1992,10.06
1993,7.82
1994,7.28
1995,7.84
1996,7.35
1997,7.49
1998,7.09
1999,10.1
2000,10.61
2001,8.98
2002,8.8
2003,8.26
2004,10.09
2005,7.79
2006,8.18
2007,7.54
2008,9.15
2009,5.87
2010,7.27
2011,10.19
2012,8.81
2013,8.49
2014,7.85
2015,6.84
2016,7.34
2017,5.4
2018,2.4
2019,5.2
2020,4.9
2021,-1.1
2022,4.8
2023,15
2024,
2025,
2026,
2027,
