1948,
1949,
1950,
1951,
1952,
1953,
1954,
1955,
1956,
1957,
1958,
1959,
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,8.4
1977,10.5
1978,10.1
1979,9.1
1980,9.6
1981,9.8
1982,10.2
1983,10
1984,9.5
1985,9.9
1986,10.9
1987,9.7
1988,8.2
1989,7
1990,7.3
1991,9.2
1992,8.4
1993,7.6
1994,7.4
1995,7.6
1996,7.5
1997,6.7
1998,6.4
1999,6.3
2000,6.4
2001,6.6
2002,7.5
2003,7.8
2004,7.2
2005,6.9
2006,6.4
2007,6.4
2008,6.9
2009,8
2010,7.8
2011,7.5
2012,6.9
2013,6.9
2014,6.6
2015,6.5
2016,6.6
2017,
2018,
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
