1948,
1949,
1950,
1951,
1952,
1953,
1954,
1955,
1956,
1957,
1958,
1959,
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,79
1980,58
1981,56
1982,85
1983,74
1984,66
1985,87
1986,74
1987,56
1988,98
1989,31
1990,74
1991,56
1992,79
1993,32
1994,86
1995,57
1996,43
1997,85
1998,54
1999,83
2000,11
2001,92
2002,52
2003,85
2004,96
2005,102
2006,36
2007,86
2008,87
2009,91
2010,73
2011,46
2012,79
2013,63
2014,77
2015,84
2016,94
2017,54
2018,38
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
