1948,
1949,
1950,
1951,
1952,
1953,
1954,
1955,
1956,
1957,
1958,
1959,
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,706088
1980,871451
1981,839752
1982,684710
1983,895807
1984,973013
1985,863595
1986,829919
1987,732966
1988,917862
1989,828471
1990,894149
1991,942983
1992,895328
1993,808881
1994,883014
1995,936343
1996,675257
1997,792587
1998,967786
1999,937795
2000,950580
2001,678534
2002,964782
2003,703489
2004,780141
2005,724038
2006,907567
2007,874289
2008,1075153
2009,1006125
2010,1017029
2011,749699
2012,1134265
2013,994993
2014,829802
2015,631616
2016,695627
2017,671593
2018,411538
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
