1948,
1949,
1950,84360
1951,84350
1952,110200
1953,119800
1954,86550
1955,100400
1956,99850
1957,105200
1958,83000
1959,110900
1960,134400
1961,109900
1962,131200
1963,124800
1964,124300
1965,110300
1966,85190
1967,131700
1968,117300
1969,126900
1970,103800
1971,107500
1972,116100
1973,131400
1974,111300
1975,125600
1976,87930
1977,105000
1978,91640
1979,126000
1980,125300
1981,116300
1982,85820
1983,119100
1984,105300
1985,119600
1986,123300
1987,121600
1988,114200
1989,83790
1990,162100
1991,141800
1992,108900
1993,109800
1994,90400
1995,125300
1996,108200
1997,108100
1998,70690
1999,97010
2000,187900
2001,124600
2002,150200
2003,97220
2004,81210
2005,121100
2006,111300
2007,130600
2008,167500
2009,116600
2010,105100
2011,127000
2012,117300
2013,139200
2014,124300
2015,163300
2016,119600
2017,
2018,
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
