1948,12.07
1949,15.11
1950,21.66
1951,17.38
1952,6.03
1953,7.01
1954,10.34
1955,18.07
1956,15.87
1957,6.78
1958,16.86
1959,13.16
1960,8.15
1961,17.12
1962,8.58
1963,7.88
1964,11.77
1965,20.4
1966,17.37
1967,14.32
1968,13.63
1969,6.12
1970,27.79
1971,15.79
1972,11.92
1973,10.71
1974,19.87
1975,10.47
1976,10.42
1977,12.34
1978,14.79
1979,7.5
1980,8.63
1981,9.82
1982,19.18
1983,10.91
1984,19.87
1985,8.85
1986,9.11
1987,9.13
1988,15.92
1989,20.01
1990,27.06
1991,17.46
1992,27.76
1993,12.39
1994,19.9
1995,8.74
1996,16.72
1997,11.73
1998,8.46
1999,15.47
2000,10.3
2001,6.81
2002,7.25
2003,12.35
2004,15.91
2005,9.09
2006,8.55
2007,10.23
2008,14.26
2009,8.02
2010,11.76
2011,12.67
2012,13.22
2013,13
2014,8.84
2015,11.15
2016,14.31
2017,
2018,
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
