1948,65
1949,51
1950,76
1951,48
1952,49
1953,55
1954,56
1955,73
1956,59
1957,33
1958,65
1959,37
1960,57
1961,54
1962,46
1963,63
1964,73
1965,85
1966,64
1967,47
1968,63
1969,36
1970,64
1971,69
1972,43
1973,70
1974,52
1975,79
1976,13
1977,36
1978,45
1979,34
1980,32
1981,45
1982,31
1983,37
1984,38
1985,30
1986,29
1987,21
1988,43
1989,57
1990,54
1991,41
1992,32
1993,42
1994,55
1995,54
1996,55
1997,26
1998,59
1999,49
2000,14
2001,38
2002,20
2003,46
2004,37
2005,50
2006,59
2007,36
2008,43
2009,42
2010,61
2011,57
2012,58
2013,35
2014,30
2015,14
2016,57
2017,
2018,
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
